date,hour,temperature_c
2025-12-11,0,14.559999999999999
2025-12-11,1,13.919999999999998
2025-12-11,2,13.4
2025-12-11,3,12.940000000000001
2025-12-11,4,12.5
2025-12-11,5,12.120000000000001
2025-12-11,6,11.74
2025-12-11,7,12.32
2025-12-11,8,15.02
2025-12-11,9,18.5
2025-12-11,10,21.380000000000003
2025-12-11,11,23.46
2025-12-11,12,24.98
2025-12-11,13,25.9
2025-12-11,14,26.22
2025-12-11,15,26.080000000000002
2025-12-11,16,25.419999999999998
2025-12-11,17,23.32
2025-12-11,18,20.96
2025-12-11,19,19.139999999999997
2025-12-11,20,17.78
2025-12-11,21,16.64
2025-12-11,22,15.66
2025-12-11,23,14.62
