time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,15.5,34,2.6,2025-12-11,0,mild,14.82
2025-12-11 01:00:00,14.9,35,2.3,2025-12-11,1,mild,14.200000000000001
2025-12-11 02:00:00,14.4,37,1.8,2025-12-11,2,mild,13.66
2025-12-11 03:00:00,13.9,38,1.5,2025-12-11,3,mild,13.14
2025-12-11 04:00:00,13.3,39,1.1,2025-12-11,4,mild,12.520000000000001
2025-12-11 05:00:00,12.8,42,1.3,2025-12-11,5,mild,11.96
2025-12-11 06:00:00,12.3,43,1.6,2025-12-11,6,mild,11.440000000000001
2025-12-11 07:00:00,12.2,43,1.5,2025-12-11,7,mild,11.34
2025-12-11 08:00:00,13.4,42,1.6,2025-12-11,8,mild,12.56
2025-12-11 09:00:00,17.5,30,1.1,2025-12-11,9,mild,16.9
2025-12-11 10:00:00,22.3,23,2.5,2025-12-11,10,warm,21.84
2025-12-11 11:00:00,25.5,18,4.1,2025-12-11,11,warm,25.14
2025-12-11 12:00:00,27.4,16,8.0,2025-12-11,12,warm,27.08
2025-12-11 13:00:00,28.4,14,10.7,2025-12-11,13,warm,28.119999999999997
2025-12-11 14:00:00,28.5,14,11.5,2025-12-11,14,warm,28.22
2025-12-11 15:00:00,28.0,14,10.3,2025-12-11,15,warm,27.72
2025-12-11 16:00:00,27.2,14,8.9,2025-12-11,16,warm,26.919999999999998
2025-12-11 17:00:00,25.3,16,5.0,2025-12-11,17,warm,24.98
2025-12-11 18:00:00,22.8,20,3.3,2025-12-11,18,warm,22.400000000000002
2025-12-11 19:00:00,21.4,24,2.6,2025-12-11,19,warm,20.919999999999998
2025-12-11 20:00:00,20.5,25,2.4,2025-12-11,20,warm,20.0
2025-12-11 21:00:00,19.4,27,1.6,2025-12-11,21,mild,18.86
2025-12-11 22:00:00,18.4,29,1.5,2025-12-11,22,mild,17.82
2025-12-11 23:00:00,17.2,31,0.5,2025-12-11,23,mild,16.58
